Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1970,Papayas,1317,2900.0,30000.0,103448.0
1970,Pineapples,1318,1100.0,32000.0,290909.0
1970,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1970,Pomelos and grapefruits,1321,500.0,3800.0,76000.0
1970,Potatoes,1510,30500.0,218000.0,71475.0
1970,"Pyrethrum, dried flowers",1930.02,20000.0,6005.0,3003.0
1970,Rice,113,5844.0,28500.0,48768.0
1970,"Seed cotton, unginned",1921.01,80936.0,14017.0,1732.0
1970,Sesame seed,1444,7500.0,3000.0,4000.0
1970,Sorghum,114,201000.0,220000.0,10945.0
1970,Sugar cane,1802,31500.0,1731200.0,549587.0
1970,Sunflower seed,1445,4000.0,3200.0,8000.0
1970,Sweet potatoes,1530,30000.0,230000.0,76667.0
1970,Tea leaves,1620,40278.0,41077.0,10198.0
1970,Tomatoes,1234,2560.0,41000.0,160156.0
1970,Unmanufactured tobacco,1970,500.0,123.0,2460.0
1970,Wheat,111,137300.0,221486.0,16132.0
1971,Apricots,1343,2.0,10.0,50000.0
1971,Avocados,1311,1100.0,16000.0,145455.0
1971,Bananas,1312,40000.0,400000.0,100000.0
1971,Barley,115,20000.0,18400.0,9200.0
1971,"Beans, dry",1701,180000.0,100000.0,5556.0
1971,"Beer of barley, malted",24310.01,,93538.0,
1971,"Cashew nuts, in shell",1372,50000.0,19200.0,3840.0
1971,"Cassava, fresh",1520.01,65000.0,520000.0,80000.0
1971,Castor oil seeds,1447,9000.0,1978.0,2198.0
1971,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3300.0,2500.0,7576.0
1971,"Cloves (whole stems), raw",1656,65.0,20.0,3077.0
1971,"Coconuts, in shell",1460,17000.0,75000.0,44118.0
1971,"Coffee, green",1610,84983.0,59500.0,7001.0
1971,"Cotton lint, ginned",1921.02,,5532.0,
1971,Cotton seed,143,,11064.0,
1971,Cottonseed oil,2168,,1987.5,
1971,Dates,1314,250.0,700.0,28000.0
1971,Green garlic,1252,14.0,200.0,142857.0
1971,"Groundnuts, excluding shelled",142,5000.0,3015.0,6030.0
1971,Linseed,1441,240.0,240.0,10000.0
1971,Maize (corn),112,1150000.0,1400000.0,12174.0
1971,"Mangoes, guavas and mangosteens",1316,800.0,3000.0,37500.0
1971,Millet,118,76000.0,130000.0,17105.0
1971,Oats,117,5000.0,3700.0,7400.0
1971,"Onions and shallots, dry (excluding dehydrated)",1253.02,1500.0,3800.0,25333.0
1971,Oranges,1323,3000.0,10000.0,33333.0
1971,Papayas,1317,3100.0,32000.0,103226.0
1971,Pineapples,1318,1200.0,34100.0,284167.0
1971,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1971,Pomelos and grapefruits,1321,550.0,3900.0,70909.0
1971,Potatoes,1510,28000.0,200000.0,71429.0
1971,"Pyrethrum, dried flowers",1930.02,30000.0,9748.0,3249.0
1971,Rice,113,6330.0,30000.0,47393.0
1971,"Seed cotton, unginned",1921.01,53000.0,16764.0,3163.0
1971,Sesame seed,1444,8700.0,3500.0,4023.0
1971,Sorghum,114,202000.0,220000.0,10891.0
1971,Sugar cane,1802,20615.0,1663000.0,806694.0
1971,Sunflower seed,1445,4000.0,2542.0,6355.0
1971,Sweet potatoes,1530,30000.0,240000.0,80000.0
1971,Tea leaves,1620,43400.0,36290.0,8362.0
1971,Tomatoes,1234,2625.0,42000.0,160000.0
1971,Unmanufactured tobacco,1970,500.0,161.0,3220.0
1971,Wheat,111,121403.0,205743.0,16947.0
1972,Apricots,1343,2.0,10.0,50000.0
